etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Produksjon av møbler,9,2025-09-08,2026-07-02,0,9,SN2025,T2,,,31.000,Produksjon av møbler,23.420|31.010|31.020|31.030|31.090,Produksjon av sanitærutstyr av keramisk materiale | Produksjon av kontor- og butikkmøbler | Produksjon av kjøkkenmøbler | Produksjon av madrasser | Produksjon av møbler ellers,korrespondanse-1tilmange,false,false,31.000
Engroshandel med frukt og grønnsaker,9,2023-11-08,2026-02-23,7,2,begge,T1,46.310,Engroshandel med frukt og grønnsaker,46.310,Engroshandel med frukt og grønnsaker,46.310,Engroshandel med frukt og grønnsaker,direkte,false,false,46.310
Detaljhandel med bredt vareutvalg ellers,9,2025-11-03,2026-08-17,0,9,SN2025,T2,,,47.120,Detaljhandel med bredt vareutvalg ellers,47.190|47.820|47.890|47.911|47.990,"Butikkhandel med bredt vareutvalg ellers | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Torghandel med andre varer | Postordre-/Internetthandel med bredt vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.120
Engroshandel med vin og brennevin,9,2023-05-23,2025-03-11,9,0,SN2007,T1,46.341,Engroshandel med vin og brennevin,,,46.341,Engroshandel med vin og brennevin,direkte,false,,
Interiørdesignvirksomhet,9,2025-09-04,2026-08-11,0,9,SN2025,T2,,,74.130,Interiørdesignvirksomhet,74.103,"Interiørarkitekt-, interiørdesign- og interiørkonsulentvirksomhet",korrespondanse-1til1,false,false,74.130
Selvstendig kunstnerisk virksomhet innen litteratur,9,2023-10-06,2025-02-10,9,0,SN2007,T1,90.034,Selvstendig kunstnerisk virksomhet innen litteratur,,,90.034,Selvstendig kunstnerisk virksomhet innen litteratur,direkte,false,,
"Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste",9,2022-07-13,2024-07-03,9,0,SN2007,T1,86.221,"Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste",,,86.221,"Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste",direkte,false,,
Annen forebyggende helsetjeneste,9,2023-06-07,2025-07-31,9,0,SN2007,T1,86.904,Annen forebyggende helsetjeneste,,,86.904,Annen forebyggende helsetjeneste,direkte,false,,
Treningssentervirksomhet,9,2025-10-08,2026-08-14,0,9,SN2025,T2,,,93.130,Treningssentervirksomhet,85.510|93.130,Undervisning innen idrett og rekreasjon | Treningssentre,korrespondanse-1tilmange,false,false,93.130
Butikkhandel med helsekost,8,2023-05-22,2025-07-04,8,0,SN2007,T1,47.291,Butikkhandel med helsekost,,,47.291,Butikkhandel med helsekost,direkte,false,,
"Engroshandel med datamaskiner, tilleggsutstyr til datamaskin",8,2023-05-12,2025-05-05,8,0,SN2007,T1,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",,,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",direkte,false,,
Detaljhandel med kosmetikk og toalettartikler,8,2025-09-23,2026-04-24,0,8,SN2025,T2,,,47.750,Detaljhandel med kosmetikk og toalettartikler,47.750|47.890|47.919|47.990,Butikkhandel med kosmetikk og toalettartikler | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.750
Postordre-/Internetthandel med elektriske husholdningsappara,8,2022-09-06,2025-05-26,8,0,SN2007,T1,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter",,,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter",direkte,false,,
Produksjon av matfisk og skalldyr i hav- og kystbasert fiske,8,2023-05-16,2025-03-28,8,0,SN2007,,,,,,,,,,,
Detaljhandel med nærings- og nytelsesmidler ellers,8,2025-09-26,2026-06-18,0,8,SN2025,T2,,,47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.291|47.292|47.299|47.810|47.917|47.919|47.990,"Butikkhandel med helsekost | Butikkhandel med kaffe og te | Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med helsekost | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.270
Spedisjon,8,2021-05-27,2024-12-16,8,0,SN2007,T1,52.291,Spedisjon,,,52.291,Spedisjon,direkte,false,,
Detaljhandel med tekstiler og utstyrsvarer,8,2025-09-03,2026-03-19,0,8,SN2025,T2,,,47.510,Detaljhandel med tekstiler og utstyrsvarer,47.510|47.820|47.912|47.990,"Butikkhandel med tekstiler og utstyrsvarer | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.510
Teknisk prøving og analyse,8,2023-03-31,2026-08-20,6,2,begge,T1,71.200,Teknisk prøving og analyse,71.200,Teknisk prøving og analyse,71.200,Teknisk prøving og analyse,direkte,false,false,71.200
Engroshandel med drikkevarer,8,2025-09-18,2026-08-10,0,8,SN2025,T2,,,46.340,Engroshandel med drikkevarer,46.341|46.349,Engroshandel med vin og brennevin | Engroshandel med drikkevarer ellers,korrespondanse-1tilmange,false,false,46.340
Kabelbasert telekommunikasjon,8,2023-06-23,2025-08-08,8,0,SN2007,T1,61.100,Kabelbasert telekommunikasjon,,,61.100,Kabelbasert telekommunikasjon,direkte,false,,
Engroshandel med sykepleie- og apotekvarer,8,2022-06-08,2025-07-09,8,0,SN2007,T1,46.460,Engroshandel med sykepleie- og apotekvarer,,,46.460,Engroshandel med sykepleie- og apotekvarer,direkte,false,,
Butikkhandel med kosmetikk og toalettartikler,8,2019-10-21,2025-08-29,8,0,SN2007,T1,47.750,Butikkhandel med kosmetikk og toalettartikler,,,47.750,Butikkhandel med kosmetikk og toalettartikler,direkte,false,,
Utenriks sjøfart med gods,8,2023-05-25,2026-05-12,6,2,begge,T1,50.201,Utenriks sjøfart med gods,50.201,Utenriks sjøfart med gods,50.201,Utenriks sjøfart med gods,direkte,false,false,50.201
Reisearrangørvirksomhet,8,2022-10-10,2025-06-13,8,0,SN2007,T1,79.120,Reisearrangørvirksomhet,,,79.120,Reisearrangørvirksomhet,direkte,false,,
Bygging av vann- og kloakkanlegg,8,2021-02-05,2026-03-04,6,2,begge,T1,42.210,Bygging av vann- og kloakkanlegg,42.210,Bygging av vann- og kloakkanlegg,42.210,Bygging av vann- og kloakkanlegg,direkte,true,true,42.210
Andre sportsaktiviteter,8,2023-05-23,2025-08-25,8,0,SN2007,T1,93.190,Andre sportsaktiviteter,,,93.190,Andre sportsaktiviteter,direkte,false,,
Engroshandel med maskiner og utstyr til kraftproduksjon og i,8,2023-05-11,2025-05-28,8,0,SN2007,T1,46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon,,,46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon,direkte,false,,
Eiendomsmegling og andre formidlingstjenester for eiendom,8,2025-10-13,2026-07-01,0,8,SN2025,T2,,,68.310,Eiendomsmegling og andre formidlingstjenester for eiendom,68.310,Eiendomsmegling,korrespondanse-1til1,false,false,68.310
"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærv",8,2022-12-06,2026-06-16,7,1,begge,T1,46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",direkte,false,false,46.160
Regnskapsføring og bokføring,8,2025-10-16,2026-07-06,0,8,SN2025,T2,,,69.202,Regnskapsføring og bokføring,69.201,Regnskap og bokføring,korrespondanse-1til1,false,false,69.202
Reparasjon av kommunikasjonsutstyr,8,2022-10-27,2025-07-02,8,0,SN2007,T1,95.120,Reparasjon av kommunikasjonsutstyr,,,95.120,Reparasjon av kommunikasjonsutstyr,direkte,false,,
Detaljhandel med brukte varer,7,2025-09-01,2026-06-26,0,7,SN2025,T2,,,47.790,Detaljhandel med brukte varer,47.791|47.792|47.799|47.820|47.890|47.911|47.912|47.913|47.914|47.915|47.916|47.919|47.990,"Butikkhandel med antikviteter | Butikkhandel med brukte klær | Butikkhandel med brukte varer ellers | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Torghandel med andre varer | Postordre-/Internetthandel med bredt vareutvalg | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Postordre-/internetthandel med bøker, papir, aviser og blader | Postordre-/Internetthandel med IKT-utstyr | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.790
Andre tjenester tilknyttet utvinning av råolje og naturgass,7,2022-03-25,2025-11-28,5,2,begge,T1,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,direkte,false,false,09.109
Agenturhandel med bredt vareutvalg,7,2023-05-26,2026-06-25,3,4,begge,T1,46.190,Agenturhandel med bredt vareutvalg,46.190,Agenturhandel med bredt vareutvalg,46.190,Agenturhandel med bredt vareutvalg,direkte,false,false,46.190
Butikkhandel med datamaskiner og utstyr til datamaskiner,7,2022-06-30,2025-05-23,7,0,SN2007,T1,47.410,Butikkhandel med datamaskiner og utstyr til datamaskiner,,,47.410,Butikkhandel med datamaskiner og utstyr til datamaskiner,direkte,false,,
Forskning og utviklingsarbeid innen bioteknologi,7,2023-02-16,2025-04-22,7,0,SN2007,T1,72.110,Forskning og utviklingsarbeid innen bioteknologi,,,72.110,Forskning og utviklingsarbeid innen bioteknologi,direkte,false,,
Klinisk psykologtjeneste,7,2023-06-14,2025-07-29,7,0,SN2007,T1,86.905,Klinisk psykologtjeneste,,,86.905,Klinisk psykologtjeneste,direkte,false,,
Fjernsynskringkasting,7,2022-05-13,2024-08-05,7,0,SN2007,T1,60.200,Fjernsynskringkasting,,,60.200,Fjernsynskringkasting,direkte,false,,
PR og kommunikasjonstjenester,7,2021-11-23,2025-05-12,7,0,SN2007,T1,70.210,PR og kommunikasjonstjenester,73.300,PR og kommunikasjonstjenester,70.210,PR og kommunikasjonstjenester,direkte,false,false,
Oversettelses- og tolkevirksomhet,7,2023-10-30,2025-10-29,6,1,begge,T1,74.300,Oversettelses- og tolkevirksomhet,74.300,Oversettelses- og tolkevirksomhet,74.300,Oversettelses- og tolkevirksomhet,direkte,false,false,74.300
"Kongress-, messe- og utstillingsvirksomhet",7,2022-02-18,2026-05-07,6,1,begge,T1,82.300,"Kongress-, messe- og utstillingsvirksomhet",82.300,"Kongress-, messe- og utstillingsvirksomhet",82.300,"Kongress-, messe- og utstillingsvirksomhet",direkte,false,false,82.300
Detaljhandel med kjæledyr og varer til kjæledyr,7,2025-09-17,2026-06-10,0,7,SN2025,T2,,,47.762,Detaljhandel med kjæledyr og varer til kjæledyr,47.762|47.890|47.919|47.990,Butikkhandel med kjæledyr og fôrvarer til kjæledyr | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.762
Engroshandel med klær og skotøy,7,2025-10-22,2026-08-11,0,7,SN2025,T2,,,46.420,Engroshandel med klær og skotøy,46.421|46.422,Engroshandel med klær | Engroshandel med skotøy,korrespondanse-1tilmange,false,false,46.420
Engroshandel med kontormøbler,7,2023-05-31,2025-05-30,7,0,SN2007,T1,46.650,Engroshandel med kontormøbler,,,46.650,Engroshandel med kontormøbler,direkte,false,,
Annen virksomhet for distribuering av innhold,7,2025-09-16,2026-06-26,0,7,SN2025,T2,,,60.390,Annen virksomhet for distribuering av innhold,47.915|47.916|63.110|63.120,"Postordre-/internetthandel med bøker, papir, aviser og blader | Postordre-/Internetthandel med IKT-utstyr | Databehandling, datalagring og tilknyttede tjenester | Drift av web-portaler",korrespondanse-1tilmange,false,false,60.390
"Datainfrastruktur, -behandling, -lagring og tilknyttede tjen",7,2025-10-21,2026-08-07,0,7,SN2025,T2,,,63.100,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester",52.100|63.110,"Lagring | Databehandling, datalagring og tilknyttede tjenester",korrespondanse-1tilmange,false,false,63.100
Reisebyråvirksomhet,7,2020-12-08,2025-06-27,7,0,SN2007,T1,79.110,Reisebyråvirksomhet,79.110,Reisebyråvirksomhet,79.110,Reisebyråvirksomhet,direkte,false,false,79.110
Innsamling av ikke-farlig avfall,7,2020-06-23,2025-11-12,6,1,begge,T1,38.110,Innsamling av ikke-farlig avfall,38.110,Innsamling av ikke-farlig avfall,38.110,Innsamling av ikke-farlig avfall,direkte,false,false,38.110
Produksjon av annet yttertøy,6,2023-09-13,2025-02-26,6,0,SN2007,T1,14.130,Produksjon av annet yttertøy,,,14.130,Produksjon av annet yttertøy,direkte,false,,
Murerarbeid,6,2025-12-19,2026-08-18,0,6,SN2025,T2,,,43.910,Murerarbeid,43.990,Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse-1til1,true,true,43.910
Utleie og leasing av sjøtransportmateriell,6,2024-04-25,2025-07-09,6,0,SN2007,T1,77.340,Utleie og leasing av sjøtransportmateriell,77.340,Utleie og leasing av sjøtransportmateriell,77.340,Utleie og leasing av sjøtransportmateriell,direkte,false,false,77.340
Produksjon av batterier og akkumulatorer,6,2024-04-11,2026-05-07,3,3,begge,T1,27.200,Produksjon av batterier og akkumulatorer,27.200,Produksjon av batterier og akkumulatorer,27.200,Produksjon av batterier og akkumulatorer,direkte,false,false,27.200
Butikkhandel med kjøtt og kjøttvarer,6,2022-03-17,2025-05-14,6,0,SN2007,T1,47.220,Butikkhandel med kjøtt og kjøttvarer,,,47.220,Butikkhandel med kjøtt og kjøttvarer,direkte,false,,
Detaljhandel med kulturvarer ikke nevnt annet sted,6,2026-02-24,2026-08-12,0,6,SN2025,T2,,,47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,47.594|47.630|47.789|47.890|47.914|47.919|47.990,"Butikkhandel med musikkinstrumenter og noter | Butikkhandel med innspillinger av musikk og video | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.690
Bearbeiding og konservering av kjøtt,6,2022-01-14,2025-08-05,6,0,SN2007,T1,10.110,Bearbeiding og konservering av kjøtt,,,10.110,Bearbeiding og konservering av kjøtt,direkte,false,,
Produksjon av sportsartikler,6,2024-10-22,2026-06-18,2,4,begge,T1,32.300,Produksjon av sportsartikler,32.300,Produksjon av sportsartikler,32.300,Produksjon av sportsartikler,direkte,false,false,32.300
"Produksjon av andre tekstilvarer, unntatt klær",6,2023-01-02,2025-01-20,6,0,SN2007,T1,13.929,"Produksjon av andre tekstilvarer, unntatt klær",,,13.929,"Produksjon av andre tekstilvarer, unntatt klær",direkte,false,,
Sortering og bearbeiding av avfall for materialgjenvinning,6,2022-09-14,2024-09-24,6,0,SN2007,T1,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,,,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,direkte,false,,
Engroshandel med andre næringsmidler,6,2025-12-16,2026-07-31,0,6,SN2025,T2,,,46.380,Engroshandel med andre næringsmidler,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,korrespondanse-1til1,false,false,46.380
Trafikkskoleundervisning,6,2022-10-07,2025-08-14,6,0,SN2007,T1,85.530,Trafikkskoleundervisning,,,85.530,Trafikkskoleundervisning,direkte,false,,
Detaljhandel med spill og leker,6,2025-10-14,2026-07-16,0,6,SN2025,T2,,,47.640,Detaljhandel med spill og leker,47.650|47.890|47.919|47.990,Butikkhandel med spill og leker | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.640
Engroshandel med elektriske husholdningsapparater og -maskin,6,2020-10-26,2025-06-06,6,0,SN2007,T1,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner,,,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner,direkte,false,,
Geologiske undersøkelser,6,2024-09-04,2025-07-25,6,0,SN2007,T1,71.122,Geologiske undersøkelser,71.122,Geologiske undersøkelser,71.122,Geologiske undersøkelser,direkte,false,false,71.122
Fritidsvirksomhet ellers,6,2023-07-05,2026-07-23,1,5,begge,T1,93.299,Fritidsvirksomhet ellers,93.292,Fritidsvirksomhet ellers,93.299,Fritidsvirksomhet ellers,direkte,false,false,93.292
"Aktiviteter i dagspa, badstue og dampbad",6,2025-10-14,2026-05-13,0,6,SN2025,T2,,,96.230,"Aktiviteter i dagspa, badstue og dampbad",96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,korrespondanse-1til1,false,false,96.230
Kantiner drevet som selvstendig virksomhet,6,2023-08-16,2025-04-24,6,0,SN2007,T1,56.290,Kantiner drevet som selvstendig virksomhet,,,56.290,Kantiner drevet som selvstendig virksomhet,direkte,false,,
Skogskjøtsel og andre skogbruksaktiviteter,6,2023-07-24,2026-05-19,4,2,begge,T1,02.100,Skogskjøtsel og andre skogbruksaktiviteter,02.100,Skogskjøtsel og andre skogbruksaktiviteter,02.100,Skogskjøtsel og andre skogbruksaktiviteter,direkte,false,false,02.100
Reparasjon av andre husholdningsvarer og varer til personlig,6,2023-04-19,2025-06-06,6,0,SN2007,T1,95.290,Reparasjon av andre husholdningsvarer og varer til personlig bruk,,,95.290,Reparasjon av andre husholdningsvarer og varer til personlig bruk,direkte,false,,
Telekommunikasjon ellers,6,2023-12-12,2025-01-10,6,0,SN2007,T1,61.900,Telekommunikasjon ellers,61.900,Telekommunikasjon ellers,61.900,Telekommunikasjon ellers,direkte,false,false,61.900
"Leasing av immateriell eiendom og lignende produkter, unntat",6,2024-08-16,2026-06-16,3,3,begge,T1,77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",direkte,false,false,77.400
Undervisning innenfor idrett og rekreasjon,6,2025-09-22,2026-08-17,0,6,SN2025,T2,,,85.510,Undervisning innenfor idrett og rekreasjon,85.510,Undervisning innen idrett og rekreasjon,korrespondanse-1til1,false,false,85.510
Handel med elektrisitet,6,2023-05-30,2026-08-24,4,2,begge,T1,35.140,Handel med elektrisitet,35.150,Handel med elektrisitet,35.140,Handel med elektrisitet,direkte,false,false,35.150
"Engroshandel med husholdnings-, kontor- og butikkmøbler, gul",6,2025-09-16,2026-07-27,0,6,SN2025,T2,,,46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",46.471|46.472|46.473|46.650,Engroshandel med møbler | Engroshandel med gulvtepper | Engroshandel med belysningsutstyr | Engroshandel med kontormøbler,korrespondanse-1tilmange,false,false,46.470
"Agentur- og engroshandel med biler og lette motorvogner, unn",6,2022-10-05,2025-06-11,6,0,SN2007,T1,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",,,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",direkte,false,,
"Saging, høvling og impregnering av tre",6,2023-05-16,2025-01-28,6,0,SN2007,T1,16.100,"Saging, høvling og impregnering av tre",,,16.100,"Saging, høvling og impregnering av tre",direkte,false,,
Forsikringsformidling,6,2022-05-18,2025-01-21,6,0,SN2007,T1,66.220,Forsikringsformidling,66.220,Forsikringsformidling,66.220,Forsikringsformidling,direkte,false,false,66.220
Pr og kommunikasjonstjenester,6,2025-10-24,2026-08-20,0,6,SN2025,T4,,,73.300,Pr og kommunikasjonstjenester,70.210,PR og kommunikasjonstjenester,korrespondanse-1til1,false,false,73.300
"Agentur- og engroshandel med andre motorvogner, unntatt moto",5,2024-07-03,2025-06-25,5,0,SN2007,T1,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",,,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",direkte,false,,
"Aktiviteter innenfor tradisjonell, komplementær og alternati",5,2026-01-22,2026-08-05,0,5,SN2025,T2,,,86.960,"Aktiviteter innenfor tradisjonell, komplementær og alternativ medisin",86.909,Andre helsetjenester,korrespondanse-1til1,false,false,86.960
Allmenn legetjeneste,5,2024-03-11,2025-07-14,5,0,SN2007,T1,86.211,Allmenn legetjeneste,,,86.211,Allmenn legetjeneste,direkte,false,,
Andre personlige tjenester ikke nevnt annet sted,5,2025-09-15,2026-06-30,0,5,SN2025,T2,,,96.990,Andre personlige tjenester ikke nevnt annet sted,96.090,Personlig tjenesteyting ikke nevnt annet sted,korrespondanse-1til1,false,false,96.990
Andre tjenester tilknyttet finansieringsvirksomhet,5,2023-03-16,2024-10-18,5,0,SN2007,T1,66.190,Andre tjenester tilknyttet finansieringsvirksomhet,,,66.190,Andre tjenester tilknyttet finansieringsvirksomhet,direkte,false,,
Andre tjenester tilknyttet forsikringsvirksomhet og pensjons,5,2020-03-12,2024-03-04,5,0,SN2007,T1,66.290,Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser,,,66.290,Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser,direkte,false,,
Andre tjenester tilknyttet informasjonsteknologi,5,2023-02-07,2026-05-06,4,1,begge,T1,62.090,Andre tjenester tilknyttet informasjonsteknologi,62.900,Andre tjenester tilknyttet informasjonsteknologi,62.090,Andre tjenester tilknyttet informasjonsteknologi,direkte,false,false,62.900
Butikkhandel med brukte klær,5,2022-12-30,2025-07-15,5,0,SN2007,T1,47.792,Butikkhandel med brukte klær,,,47.792,Butikkhandel med brukte klær,direkte,false,,
Butikkhandel med sukkervarer,5,2023-10-02,2025-01-24,5,0,SN2007,T1,47.242,Butikkhandel med sukkervarer,,,47.242,Butikkhandel med sukkervarer,direkte,false,,
Bygging av skip og skrog over 100 br.tonn,5,2020-07-06,2025-03-03,5,0,SN2007,T1,30.111,Bygging av skip og skrog over 100 br.tonn,,,30.111,Bygging av skip og skrog over 100 br.tonn,direkte,false,,
Detaljhandel med elektriske husholdningsapparater,5,2025-11-24,2026-07-03,0,5,SN2025,T2,,,47.540,Detaljhandel med elektriske husholdningsapparater,47.540|47.890|47.914|47.990,"Butikkhandel med elektriske husholdningsapparater | Torghandel med andre varer | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.540
"Detaljhandel med motorsykler, deler og utstyr",5,2023-06-02,2025-06-25,5,0,SN2007,T1,45.402,"Detaljhandel med motorsykler, deler og utstyr",,,45.402,"Detaljhandel med motorsykler, deler og utstyr",direkte,false,,
Drift av taxisentraler og annen formidling av persontranspor,5,2024-06-03,2025-08-05,5,0,SN2007,T1,52.214,Drift av taxisentraler og annen formidling av persontransport,,,52.214,Drift av taxisentraler og annen formidling av persontransport,direkte,false,,
Dyrking av ettårige vekster ellers,5,2024-02-26,2026-02-25,3,2,begge,T1,01.190,Dyrking av ettårige vekster ellers,01.190,Dyrking av ettårige vekster ellers,01.190,Dyrking av ettårige vekster ellers,direkte,false,false,01.190
Engroshandel med apotekvarer og medisinske varer,5,2025-10-10,2026-08-14,0,5,SN2025,T2,,,46.460,Engroshandel med apotekvarer og medisinske varer,46.460,Engroshandel med sykepleie- og apotekvarer,korrespondanse-1til1,false,false,46.460
Engroshandel med innsatsvarer ikke nevnt annet sted,5,2023-07-05,2025-03-21,5,0,SN2007,T1,46.769,Engroshandel med innsatsvarer ikke nevnt annet sted,,,46.769,Engroshandel med innsatsvarer ikke nevnt annet sted,direkte,false,,
"Engroshandel med meierivarer, egg, matolje og -fett",5,2022-08-30,2024-11-19,5,0,SN2007,T1,46.330,"Engroshandel med meierivarer, egg, matolje og -fett",46.330,"Engroshandel med meierivarer, egg, matolje og -fett",46.330,"Engroshandel med meierivarer, egg, matolje og -fett",direkte,false,false,46.330
Engroshandel med rengjøringsmidler,5,2023-06-21,2025-02-25,5,0,SN2007,T1,46.442,Engroshandel med rengjøringsmidler,,,46.442,Engroshandel med rengjøringsmidler,direkte,false,,
Forvaltning og drift av IT-systemer,5,2023-05-15,2025-03-11,5,0,SN2007,T1,62.030,Forvaltning og drift av IT-systemer,,,62.030,Forvaltning og drift av IT-systemer,direkte,false,,
Hogging og bearbeiding av monument- og bygningsstein,5,2023-04-03,2026-02-02,2,3,begge,T1,23.700,Hogging og bearbeiding av monument- og bygningsstein,23.700,Hogging og bearbeiding av monument- og bygningsstein,23.700,Hogging og bearbeiding av monument- og bygningsstein,direkte,false,false,23.700
Impresariovirksomhet,5,2022-11-30,2024-07-09,5,0,SN2007,T1,74.903,Impresariovirksomhet,,,74.903,Impresariovirksomhet,direkte,false,,
Innenriks sjøfart med gods,5,2023-04-17,2026-07-31,1,4,begge,T1,50.202,Innenriks sjøfart med gods,50.202,Innenriks sjøfart med gods,50.202,Innenriks sjøfart med gods,direkte,false,false,50.202
Innrednings- og installasjonsarbeid utført på skip over 100,5,2021-07-26,2024-09-04,5,0,SN2007,T1,30.115,Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn,,,30.115,Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn,direkte,false,,
"Kabelbasert, satellittbasert og trådløs telekommunikasjon",5,2026-01-09,2026-07-24,0,5,SN2025,T2,,,61.100,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",61.100|61.200|61.300,Kabelbasert telekommunikasjon | Trådløs telekommunikasjon | Satellittbasert telekommunikasjon,korrespondanse-1tilmange,false,false,61.100
"Miljørydding, miljørensing og lignende virksomhet",5,2022-04-07,2024-04-05,5,0,SN2007,T1,39.000,"Miljørydding, miljørensing og lignende virksomhet",,,39.000,"Miljørydding, miljørensing og lignende virksomhet",direkte,false,,
Passasjertransport utenom rutetabell,5,2025-11-04,2026-07-01,0,5,SN2025,T2,,,49.320,Passasjertransport utenom rutetabell,49.392,Turbiltransport,korrespondanse-1til1,false,false,49.320
Produksjon av andre bygningsartikler,5,2025-09-22,2026-07-09,0,5,SN2025,T2,,,16.230,Produksjon av andre bygningsartikler,16.231|16.232,Produksjon av monteringsferdige hus | Produksjon av bygningsartikler,korrespondanse-1tilmange,false,false,16.230
Produksjon av annet elektrisk utstyr,5,2024-07-05,2026-01-30,4,1,begge,T1,27.900,Produksjon av annet elektrisk utstyr,27.900,Produksjon av annet elektrisk utstyr,27.900,Produksjon av annet elektrisk utstyr,direkte,false,false,27.900
Produksjon av dører og vinduer av metall,5,2024-04-04,2025-10-16,3,2,begge,T1,25.120,Produksjon av dører og vinduer av metall,25.120,Produksjon av dører og vinduer av metall,25.120,Produksjon av dører og vinduer av metall,direkte,false,false,25.120
